date,CCI
2017-09-21,4.5006
2017-09-22,-0.9157
2017-09-25,-61.8163
2017-09-26,-26.2897
2017-09-27,56.1868
2017-09-28,87.5147
2017-09-29,136.1905
2017-10-02,117.264
2017-10-03,113.4181
2017-10-04,104.2309
2017-10-05,153.0545
2017-10-06,185.4827
2017-10-09,201.9581
2017-10-10,167.9706
2017-10-11,206.5442
2017-10-12,220.0138
2017-10-13,223.5253
2017-10-16,208.1125
2017-10-17,213.0885
2017-10-18,199.1575
2017-10-19,159.4074
2017-10-20,160.9154
2017-10-23,110.7544
2017-10-24,85.1158
2017-10-25,87.2874
2017-10-26,104.4001
2017-10-27,224.7431
2017-10-30,186.6158
2017-10-31,175.6403
2017-11-01,180.3795
2017-11-02,165.7323
2017-11-03,170.1656
2017-11-06,161.7063
2017-11-07,157.6322
2017-11-08,161.6243
2017-11-09,136.3101
2017-11-10,129.7307
2017-11-13,121.9078
2017-11-14,109.5818
2017-11-15,101.6183
2017-11-16,116.2839
2017-11-17,100.3765
2017-11-20,89.3801
2017-11-21,106.8314
2017-11-22,112.0423
2017-11-24,114.9771
2017-11-27,127.7018
2017-11-28,123.6884
2017-11-29,80.1114
2017-11-30,68.0173
2017-12-01,47.8376
2017-12-04,31.2079
2017-12-05,31.8963
2017-12-06,49.6372
2017-12-07,72.7823
2017-12-08,88.9969
2017-12-11,89.9613
2017-12-12,92.739
2017-12-13,91.4466
2017-12-14,106.9858
2017-12-15,126.6574
2017-12-18,150.3867
2017-12-19,143.6011
2017-12-20,133.5726
2017-12-21,127.8236
2017-12-22,117.3547
2017-12-26,101.8404
2017-12-27,90.8063
2017-12-28,82.3555
2017-12-29,74.9916
2018-01-02,107.9237
2018-01-03,157.7647
2018-01-04,183.188
2018-01-05,209.4903
2018-01-08,217.9584
2018-01-09,203.8934
2018-01-10,180.3814
2018-01-11,178.6739
2018-01-12,198.637
2018-01-16,211.8884
2018-01-17,201.2062
2018-01-18,188.4016
2018-01-19,195.8586
2018-01-22,217.7747
2018-01-23,235.673
2018-01-24,222.4788
2018-01-25,208.2961
2018-01-26,194.0679
2018-01-29,194.0374
2018-01-30,165.3173
2018-01-31,154.4814
2018-02-01,144.1925
2018-02-02,61.9237
2018-02-05,-1.773
2018-02-06,-19.0172
2018-02-07,-23.5273
2018-02-08,-84.0891
2018-02-09,-77.0269
2018-02-12,-36.7805
2018-02-13,-37.8375
2018-02-14,-21.2449
2018-02-15,7.61
2018-02-16,28.5915
2018-02-20,36.108
2018-02-21,59.113
2018-02-22,46.5868
2018-02-23,58.8476
2018-02-26,85.4166
2018-02-27,64.8385
2018-02-28,39.024
2018-03-01,-11.4135
2018-03-02,-35.1338
2018-03-05,-10.3176
2018-03-06,4.9959
2018-03-07,15.7224
2018-03-08,50.8156
2018-03-09,102.6036
2018-03-12,127.157
2018-03-13,92.0924
2018-03-14,89.8211
2018-03-15,84.0994
2018-03-16,67.9825
2018-03-19,-4.7522
2018-03-20,-21.7528
2018-03-21,-25.6952
2018-03-22,-94.7872
2018-03-23,-140.3137
2018-03-26,-131.8151
2018-03-27,-161.7334
2018-03-28,-193.2152
2018-03-29,-146.8167
2018-04-02,-168.0653
2018-04-03,-161.4825
2018-04-04,-142.5422
2018-04-05,-112.4404
2018-04-06,-131.8193
2018-04-09,-111.9864
2018-04-10,-102.3006
2018-04-11,-103.557
2018-04-12,-86.794
2018-04-13,-81.7271
2018-04-16,-74.6437
2018-04-17,-30.1807
2018-04-18,-21.4401
2018-04-19,-3.1004
2018-04-20,-8.6187
